time,open,high,low,close,Volume,Beta,Mkt cap,Total common shares outstanding
2024-12-30,4.60000329,4.81818527,4.5454578,4.775761,40720.32084,0.754846552,20987398645.0,4388997127.0
2024-12-27,4.59394268,4.59394268,4.5454578,4.59394268,56482.75956,0.750889584,20162798837.0,4388997127.0
2024-12-26,4.66667001,4.66667001,4.27273033,4.5454578,73492.59738,0.760280105,19949999050.0,4388997127.0
2024-12-25,4.59394268,4.67879123,4.5454578,4.66667001,1.0,0.755502143,20481998517.0,4388997127.0
2024-12-24,4.59394268,4.67879123,4.5454578,4.66667001,1.0,0.755502143,20481998517.0,4388997127.0
2024-12-23,4.59394268,4.67879123,4.5454578,4.66667001,47189.96621,0.755502143,20481998517.0,4388997127.0
2024-12-20,4.50909414,4.59394268,4.50909414,4.58182146,52436.96246,0.756168685,20109598890.0,4388997127.0
2024-12-19,3.93939676,4.50909414,3.93939676,4.50909414,29751.1287,0.762908073,19790399210.0,4388997127.0
2024-12-18,3.90909371,3.93939676,3.9030331,3.93939676,98676.52935,0.697900765,17289999177.0,4388997127.0
2024-12-17,3.7878815,3.90909371,3.75757845,3.90909371,31848.2772,0.697832746,17156998676.0,4388997127.0
2024-12-16,3.81818455,3.81818455,3.75757845,3.7878815,28168.77983,0.695124321,16624999208.0,4388997127.0
2024-12-13,3.81818455,3.83636638,3.75757845,3.80000272,42614.51949,0.693763609,16678199155.0,4388997127.0
2024-12-12,3.8484876,3.8484876,3.7878815,3.81818455,4420.346835,0.696455644,16624999208.0,4388997127.0
2024-12-11,3.86060882,3.86060882,3.76363906,3.8484876,124274.611,0.697132109,16890998942.0,4388997127.0
2024-12-10,3.86060882,3.86060882,3.8484876,3.86060882,10863.59222,0.697027153,16890998942.0,4388997127.0
2024-12-09,3.81818455,3.85454821,3.81818455,3.8484876,40327.62113,0.707513473,16890998942.0,4388997127.0
2024-12-06,3.86060882,3.86060882,3.81818455,3.86060882,48145.31553,0.707448698,16944198889.0,4388997127.0
2024-12-05,3.90909371,3.90909371,3.86060882,3.86060882,15203.08911,0.709503323,16944198889.0,4388997127.0
2024-12-04,3.90909371,3.90909371,3.81818455,3.9030331,18527.83673,0.708501435,17130399336.0,4388997127.0
2024-12-03,3.90909371,3.90909371,3.79394211,3.9030331,122779.7121,0.723025602,17130399336.0,4388997127.0
2024-12-02,3.92727554,3.9636392,3.87879066,3.93939676,38763.42225,0.730547227,17289999177.0,4388997127.0
2024-11-29,3.93939676,3.93939676,3.88485127,3.92727554,18450.28679,0.731619187,17236799230.0,4388997127.0
2024-11-28,4.00000286,4.00000286,3.89697249,3.93939676,52654.7623,0.732704667,17289999177.0,4388997127.0
2024-11-27,4.0787908,4.0787908,3.87879066,3.87879066,39266.67189,0.732320375,17023999443.0,4388997127.0
2024-11-26,4.08485141,4.08485141,4.06060897,4.0787908,257982.2653,0.728483166,17821998644.0,4388997127.0
