time,open,high,low,close,Volume,Beta,Mkt cap,Total common shares outstanding
2024-12-30,16.0,16.0,16.0,16.0,711.0,0.195259496,1459148560.0,91196788.0
2024-12-27,16.0,16.0,16.0,16.0,628.0,0.195453891,1459148560.0,91196788.0
2024-12-26,16.0,16.0,16.0,16.0,2338.0,0.194430622,1459148560.0,91196788.0
2024-12-25,15.49,16.0,15.49,16.0,1.0,0.194397172,1459148560.0,91196788.0
2024-12-24,15.49,16.0,15.49,16.0,1.0,0.194397172,1459148560.0,91196788.0
2024-12-23,15.49,16.0,15.49,16.0,410.0,0.194397172,1459148560.0,91196788.0
2024-12-20,14.0,14.0,14.0,14.0,589.0,0.194771256,1276754990.0,91196788.0
2024-12-19,10.8,12.6,10.8,12.25,716.0,0.194553754,1117160616.0,91196788.0
2024-12-18,9.0,9.0,9.0,9.0,5534653.0,0.177546446,820771065.0,91196788.0
2024-12-17,9.0,9.0,8.15,8.15,4091.0,0.171672258,743253763.0,91196788.0
2024-12-16,12.08,12.08,9.71,9.71,6613.0,0.176925118,885520786.0,91196788.0
2024-12-13,14.5,14.5,10.07,10.07,3225.0,0.175291395,918351597.0,91196788.0
2024-12-12,17.0,17.0,12.5,12.5,3092.0,0.171961496,1139959812.0,91196788.0
2024-12-11,19.25,19.25,15.5,15.5,1428.0,0.171523175,1413550167.0,91196788.0
2024-12-10,19.3,19.3,19.0,19.3,213.0,0.188478614,1760097880.0,91196788.0
2024-12-09,19.4,19.4,19.4,19.4,187.0,0.209826812,1769217594.0,91196788.0
2024-12-06,19.4,19.4,19.25,19.4,296.0,0.222190441,1769217594.0,91196788.0
2024-12-05,19.4,19.4,19.4,19.4,240.0,0.221763139,1769217594.0,91196788.0
2024-12-04,19.4,19.4,19.4,19.4,273.0,0.221708722,1769217594.0,91196788.0
2024-12-03,19.45,19.45,19.0,19.0,14.0,0.222451683,1814815986.0,91196788.0
2024-12-02,19.9,19.9,19.79,19.79,1.0,0.133784676,1814815986.0,91196788.0
2024-11-29,19.9,19.9,19.79,19.79,120.0,0.133784676,1814815986.0,91196788.0
2024-11-28,20.0,20.0,19.99,19.99,19.0,0.133629982,1823023711.0,91196788.0
2024-11-27,21.0,21.0,19.99,19.99,1.0,0.133466309,1823023711.0,91196788.0
2024-11-26,21.0,21.0,19.99,19.99,1.0,0.133466309,1823023711.0,91196788.0
2024-11-25,21.0,21.0,19.99,19.99,91.0,0.133466309,1823023711.0,91196788.0
2024-11-22,21.5,21.5,19.95,19.95,1.0,0.132876441,1823023711.0,91196788.0
2024-11-21,21.5,21.5,19.95,19.95,219.0,0.132876441,1823023711.0,91196788.0
2024-11-20,21.0,21.0,19.0,19.99,370.0,0.132781835,1823023711.0,91196788.0
2024-11-19,21.95,21.95,20.0,20.0,1109.0,0.137705304,1823935699.0,91196788.0
2024-11-18,21.95,21.95,18.0,21.75,1.0,0.137732776,1983530073.0,91196788.0
2024-11-15,21.95,21.95,18.0,21.75,4886.0,0.137732776,1983530073.0,91196788.0
2024-11-14,21.95,21.95,20.5,21.95,2011.0,0.137108718,2001769500.0,91196788.0
2024-11-13,21.23,21.23,20.5,20.5,130.0,0.13739842,1869534092.0,91196788.0
2024-11-12,17.7,21.8,17.7,21.8,1515.0,0.13721109,1988089843.0,91196788.0
2024-11-11,21.95,21.95,19.99,19.99,82.0,0.1383671,2001769500.0,91196788.0
2024-11-08,20.0,21.95,20.0,21.0,102.0,0.136897864,1915132484.0,91196788.0
2024-11-07,17.0,20.95,17.0,20.95,4705.0,0.136681075,1910572715.0,91196788.0
2024-11-06,23.99,23.99,18.45,18.45,2494.0,0.136317677,1682580752.0,91196788.0
2024-11-05,23.99,23.99,22.0,22.99,148.0,0.135009166,2096614066.0,91196788.0
2024-11-04,23.99,23.99,20.01,20.01,1.0,0.135909209,1824847688.0,91196788.0
2024-11-01,23.99,23.99,20.01,20.01,94.0,0.135909209,1824847688.0,91196788.0
2024-10-31,23.99,23.99,20.0,20.01,1449.0,0.135499537,1824847688.0,91196788.0
2024-10-30,24.0,24.0,23.99,23.99,85.0,0.136134646,2187810851.0,91196788.0
2024-10-29,20.0,23.99,20.0,20.0,634.0,0.136368515,1823935699.0,91196788.0
2024-10-28,19.0,23.5,19.0,23.5,85.0,0.132615041,1823935699.0,91196788.0
2024-10-25,20.0,22.19,20.0,22.19,64.0,0.132876716,2023656707.0,91196788.0
2024-10-24,27.35,27.35,18.5,22.8,1741.0,0.133243425,1687140522.0,91196788.0
2024-10-23,27.35,27.35,27.35,27.35,10.0,0.154426235,2079286628.0,91196788.0
2024-10-22,22.8,22.8,22.8,22.8,895.0,0.156519801,2079286628.0,91196788.0
2024-10-21,22.8,22.8,22.8,22.8,121.0,0.155038487,2079286628.0,91196788.0
2024-10-18,22.78,22.78,22.78,22.78,32.0,0.149199697,2077462824.0,91196788.0
2024-10-17,19.0,19.0,19.0,19.0,155.0,0.149429741,1732738914.0,91196788.0
2024-10-16,20.0,20.0,19.0,19.0,778.0,0.146938877,1732738914.0,91196788.0
2024-10-15,29.0,29.0,23.2,23.2,562.0,0.143239801,2115765481.0,91196788.0
2024-10-14,29.2,29.2,28.98,28.98,288.0,0.142588052,2642882787.0,91196788.0
2024-10-11,29.99,29.99,29.5,29.5,2680.0,0.141823445,3328682652.0,91196788.0
2024-10-10,29.99,29.99,29.99,29.99,26.0,0.141583915,2734991560.0,91196788.0
2024-10-09,36.45,36.45,36.0,36.0,22.0,0.137637005,3328682652.0,91196788.0
2024-10-08,36.5,36.5,36.49,36.49,13.0,0.152953855,3327770837.0,91196788.0
2024-10-07,45.0,45.0,36.5,39.75,1.0,0.151749886,3328682652.0,91196788.0
2024-10-04,45.0,45.0,36.5,39.75,97.0,0.151749886,3328682652.0,91196788.0
2024-10-03,45.0,45.0,42.0,42.0,23.0,0.152921882,4103855324.0,91196788.0
2024-10-02,45.0,45.0,44.0,44.0,260.0,0.152065166,4103855324.0,91196788.0
2024-10-01,45.0,45.0,45.0,45.0,20.0,0.151620784,4103855324.0,91196788.0
2024-09-30,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-09-27,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-09-26,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-09-25,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-09-24,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-09-23,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-09-20,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-09-19,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-09-18,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-09-17,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-09-16,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-09-13,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-09-12,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-09-11,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-09-10,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-09-09,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-09-06,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-09-05,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-09-04,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-09-03,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-09-02,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-08-30,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-08-29,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-08-28,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-08-27,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-08-26,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-08-23,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-08-22,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-08-21,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-08-20,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-08-19,50.0,50.0,45.0,45.0,1.0,0.151734173,4103855324.0,91196788.0
2024-08-16,50.0,50.0,45.0,45.0,39.0,0.151734173,4103855324.0,91196788.0
2024-08-15,50.0,50.0,47.0,47.0,83.0,0.151416902,4286248894.0,91196788.0
2024-08-14,50.0,50.0,50.0,50.0,5.0,0.152242228,4559839249.0,91196788.0
2024-08-13,50.0,50.0,50.0,50.0,75.0,0.151963709,4559839249.0,91196788.0
2024-08-12,50.0,50.0,49.0,49.0,1.0,0.152282704,4468642464.0,91196788.0
2024-08-09,50.0,50.0,49.0,49.0,1.0,0.152282704,4468642464.0,91196788.0
2024-08-08,50.0,50.0,49.0,49.0,144.0,0.152282704,4468642464.0,91196788.0
2024-08-07,50.0,50.0,49.0,49.0,160.0,0.15235888,4468642464.0,91196788.0
2024-08-06,50.0,50.0,50.0,50.0,1.0,0.152099168,4559839249.0,91196788.0
2024-08-05,50.0,50.0,50.0,50.0,58.0,0.151459423,4559839249.0,91196788.0
2024-08-02,50.0,50.0,50.0,50.0,10.0,0.151422293,4559839249.0,91196788.0
2024-08-01,45.0,45.0,45.0,45.0,1.0,0.150838275,4103855324.0,91196788.0
2024-07-31,45.0,45.0,45.0,45.0,1.0,0.150838275,4103855324.0,91196788.0
2024-07-30,45.0,45.0,45.0,45.0,1.0,0.150838275,4103855324.0,91196788.0
2024-07-29,45.0,45.0,45.0,45.0,1.0,0.150838275,4103855324.0,91196788.0
2024-07-26,45.0,45.0,45.0,45.0,17.0,0.150838275,4103855324.0,91196788.0
2024-07-25,45.0,45.0,45.0,45.0,10.0,0.152352191,4103855324.0,91196788.0
2024-07-24,45.0,45.0,45.0,45.0,1.0,0.151292902,4103855324.0,91196788.0
