time,open,high,low,close,Volume,Beta,Mkt cap,Total common shares outstanding
2024-12-30,10.0,10.0,10.0,10.0,46.0,0.530352214,1642502113.0,183930796.0
2024-12-27,8.94,8.94,8.93,8.93,309.0,0.508968828,1642502113.0,183930796.0
2024-12-26,8.94,8.94,8.93,8.93,180.0,0.505135566,1644341287.0,183930796.0
2024-12-25,8.94,8.94,8.94,8.94,1.0,0.50471891,1644341287.0,183930796.0
2024-12-24,8.94,8.94,8.94,8.94,1.0,0.50471891,1644341287.0,183930796.0
2024-12-23,8.94,8.94,8.94,8.94,160.0,0.50471891,1644341287.0,183930796.0
2024-12-20,8.94,8.94,8.94,8.94,57.0,0.505283398,1627787662.0,183930796.0
2024-12-19,8.88,8.88,8.85,8.88,207.0,0.499901514,1627787662.0,183930796.0
2024-12-18,8.87,8.87,8.87,8.87,103.0,0.519326076,1631466187.0,183930796.0
2024-12-17,8.98,8.98,8.87,8.87,1.0,0.521006117,1631466187.0,183930796.0
2024-12-16,8.98,8.98,8.87,8.87,250.0,0.521006117,1631466187.0,183930796.0
2024-12-13,9.0,9.0,8.6,8.98,230.0,0.519334408,1581804962.0,183930796.0
2024-12-12,8.7,8.99,8.5,8.5,1100.0,0.51747465,1563411812.0,183930796.0
2024-12-11,8.75,9.0,8.75,9.0,16586.0,0.507782082,1609394512.0,183930796.0
2024-12-10,9.0,9.0,8.8,9.0,1990.0,0.501188702,1655377213.0,183930796.0
2024-12-09,9.0,9.0,9.0,9.0,1124.0,0.500465848,1655377213.0,183930796.0
2024-12-06,9.44,9.44,9.0,9.0,910.0,0.495779177,1655377213.0,183930796.0
2024-12-05,9.44,9.44,9.0,9.0,889.0,0.49727993,1655377213.0,183930796.0
2024-12-04,9.45,9.45,9.44,9.44,1131.0,0.480168845,1738146038.0,183930796.0
2024-12-03,9.0,9.45,9.0,9.0,629.0,0.481035412,1655377213.0,183930796.0
2024-12-02,9.1,9.15,9.0,9.0,371.0,0.480584859,1655377213.0,183930796.0
2024-11-29,9.52,9.52,8.85,9.0,1038.0,0.480715172,1655377213.0,183930796.0
2024-11-28,9.53,9.54,9.0,9.0,1052.0,0.481802884,1655377213.0,183930796.0
2024-11-27,9.54,9.54,9.54,9.54,145.0,0.481795721,1754699838.0,183930796.0
2024-11-26,9.58,9.58,9.55,9.56,401.0,0.483171444,1756539188.0,183930796.0
2024-11-25,9.58,9.58,9.58,9.58,50.0,0.482763135,1765735764.0,183930796.0
2024-11-22,9.59,9.59,9.59,9.59,13.0,0.48804216,1765704562.0,183930796.0
2024-11-21,9.59,9.59,9.59,9.59,50.0,0.48762442,1765704562.0,183930796.0
2024-11-20,9.77,9.77,8.5,9.6,3281.0,0.499229635,1765704562.0,183930796.0
2024-11-19,9.79,9.79,9.79,9.79,240.0,0.499646008,1800650720.0,183930796.0
2024-11-18,9.79,9.79,8.5,9.79,1.0,0.499664568,1800650720.0,183930796.0
2024-11-15,9.79,9.79,8.5,9.79,575.0,0.499664568,1800650720.0,183930796.0
2024-11-14,9.79,9.79,9.79,9.79,3.0,0.499394233,1800650720.0,183930796.0
2024-11-13,9.8,9.8,9.79,9.79,405.0,0.500744091,1800650720.0,183930796.0
2024-11-12,9.8,9.8,9.8,9.8,100.0,0.502000211,1811686450.0,183930796.0
2024-11-11,9.85,9.85,8.25,8.25,117.0,0.477196833,1811686450.0,183930796.0
2024-11-08,10.0,10.0,9.9,9.9,1.0,0.479908376,1800650720.0,183930796.0
2024-11-07,10.0,10.0,9.9,9.9,40.0,0.479908376,1800650720.0,183930796.0
2024-11-06,9.8,9.8,9.79,9.79,751.0,0.479841651,1800650720.0,183930796.0
2024-11-05,9.85,9.85,9.79,9.79,541.0,0.480312057,1800650720.0,183930796.0
2024-11-04,9.9,9.9,9.5,9.85,1.0,0.48100561,1811686450.0,183930796.0
2024-11-01,9.9,9.9,9.5,9.85,487.0,0.48100561,1811686450.0,183930796.0
2024-10-31,9.9,9.9,9.9,9.9,345.0,0.482545125,1820882687.0,183930796.0
2024-10-30,9.85,9.9,9.85,9.9,264.0,0.492027031,1820882687.0,183930796.0
2024-10-29,9.85,9.85,9.6,9.85,680.0,0.489630223,1811686450.0,183930796.0
2024-10-28,9.79349065,9.79349065,9.14721969,9.43555596,1001.747013,0.492753546,1551530975.0,183930796.0
2024-10-25,9.634408,9.634408,9.137277,9.137277,1256.0,0.493776127,1504118548.0,183930796.0
2024-10-24,8.948367,9.634408,8.948367,9.634408,1725.0,0.502633608,1584229206.0,183930796.0
2024-10-23,9.7437775,9.7437775,8.94836709,9.29635914,3868.191778,0.500034228,1471420379.0,183930796.0
2024-10-22,9.8432038,9.8432038,8.94836709,9.8432038,17291.19944,0.492112096,1618562355.0,183930796.0
2024-10-21,9.69406435,9.8432038,9.69406435,9.8432038,534.0639194,0.491874264,1618562355.0,183930796.0
2024-10-18,9.8432038,11.43402462,9.8432038,11.43402462,640.6755492,0.499333229,1618562355.0,183930796.0
2024-10-17,9.8432038,9.8432038,8.94836709,9.8432038,590.3870446,0.479008473,1618562355.0,183930796.0
2024-10-16,9.8432038,9.8432038,9.4454986,9.8432038,60.34620558,0.478584401,1618562355.0,183930796.0
2024-10-15,9.8432038,9.8432038,9.34607229,9.8432038,1070.139379,0.47873828,1618562355.0,183930796.0
2024-10-14,9.8432038,9.8432038,9.83326117,9.8432038,457.6253923,0.47128185,1618562355.0,183930796.0
2024-10-11,9.8432038,9.8432038,9.8432038,9.8432038,515.9600577,0.471349003,1618562355.0,183930796.0
2024-10-10,9.8432038,9.93268747,9.8432038,9.93268747,633.6351586,0.464903157,1618562355.0,183930796.0
2024-10-09,9.89291695,9.89291695,9.89291695,9.89291695,43.248114,0.464140572,1630006841.0,183930796.0
2024-10-08,9.93268747,9.93268747,9.93268747,9.93268747,544.1216203,0.466362995,1633276583.0,183930796.0
2024-10-07,9.9426301,10.93689311,9.9426301,9.9426301,376.1580148,0.469862365,1634911532.0,183930796.0
2024-10-04,9.93268747,9.93268747,9.93268747,9.93268747,112.6462504,0.471135858,1633276583.0,183930796.0
2024-10-03,9.9426301,9.9426301,9.92274484,9.93268747,276.5867756,0.466418157,1631641634.0,183930796.0
2024-10-02,10.93689311,10.93689311,9.93268747,9.93268747,235.3502018,0.461972582,1633276583.0,183930796.0
2024-10-01,11.43402462,11.43402462,11.13574571,11.42408198,42.2423439,0.451054682,1796767737.0,183930796.0
2024-09-30,10.92695048,10.92695048,10.92695048,10.92695048,351.0137625,0.45710579,1796767737.0,183930796.0
2024-09-27,10.92695048,10.92695048,10.92695048,10.92695048,149.8597439,0.457519085,1796767737.0,183930796.0
2024-09-26,11.42408198,11.42408198,10.92695048,10.92695048,1623.31293,0.453843926,1796767737.0,183930796.0
2024-09-25,11.28488516,11.28488516,11.28488516,11.28488516,6.03462056,0.450476664,1961893839.0,183930796.0
2024-09-24,11.93115612,11.93115612,11.93115612,11.93115612,96.55392892,0.441845012,1961893839.0,183930796.0
2024-09-23,11.94109875,11.94109875,11.93115612,11.93115612,199.1424784,0.441103716,1961893839.0,183930796.0
2024-09-20,12.22943502,12.22943502,11.93115612,11.93115612,250.4367532,0.439272734,1961893839.0,183930796.0
2024-09-19,11.83172982,12.40840236,11.83172982,11.93115612,4807.581044,0.439333474,1961893839.0,183930796.0
2024-09-18,12.41834499,12.42828763,11.83172982,11.83172982,1557.937874,0.44130442,1945544661.0,183930796.0
2024-09-17,14.41681365,14.41681365,12.90553387,12.90553387,115.6635607,0.4370679,2122115094.0,183930796.0
2024-09-16,11.93115612,13.42255063,11.93115612,13.42255063,1.0,0.434981938,2207130569.0,183930796.0
2024-09-13,11.93115612,13.42255063,11.93115612,13.42255063,4133.715082,0.434981938,2207130569.0,183930796.0
2024-09-12,11.93115612,11.93115612,11.93115612,11.93115612,312.7944989,0.440533743,1961893839.0,183930796.0
2024-09-11,11.46385251,11.93115612,11.46385251,11.46385251,1036.948966,0.441542245,1885052953.0,183930796.0
2024-09-10,10.83746681,10.83746681,10.83746681,10.83746681,470.7004035,0.442692485,1782053508.0,183930796.0
2024-09-09,11.93115612,11.93115612,11.63287722,11.68259037,618.5486072,0.450141859,1921021051.0,183930796.0
2024-09-06,11.92121349,11.92121349,11.92121349,11.92121349,33.19041307,0.457128481,1960258890.0,183930796.0
2024-09-05,11.93115612,11.93115612,11.92121349,11.92121349,286.6444765,0.462790977,1960258890.0,183930796.0
2024-09-04,12.12006609,12.12006609,12.07035294,12.07035294,52.30004483,0.456264188,1986417449.0,183930796.0
2024-09-03,12.19960713,12.19960713,10.43976161,11.93115612,147.8482037,0.447141439,1961893839.0,183930796.0
2024-09-02,12.27914817,12.27914817,12.22943502,12.22943502,83.47891772,0.449613035,2010941216.0,183930796.0
2024-08-30,10.240909,10.240909,10.240909,10.240909,1.0,0.407848415,1683958910.0,183930796.0
2024-08-29,10.240909,10.240909,10.240909,10.240909,18.10386167,0.407848415,1683958910.0,183930796.0
2024-08-28,10.240909,10.240909,10.240909,10.240909,53.30581493,0.407538521,1683958910.0,183930796.0
2024-08-27,10.29062215,10.29062215,10.09176955,10.240909,777.4602819,0.407421983,1683958910.0,183930796.0
2024-08-26,10.3403353,10.3403353,9.9426301,10.3403353,795.5641435,0.403638426,1700307931.0,183930796.0
2024-08-23,9.9426301,9.9426301,9.9426301,9.9426301,1186.80871,0.406744512,1634911532.0,183930796.0
2024-08-22,10.83746681,10.83746681,10.83746681,10.83746681,70.40390651,0.437686528,1782053508.0,183930796.0
2024-08-21,11.43402462,11.43402462,11.03631941,11.03631941,46.26542428,0.436742189,1880148262.0,183930796.0
2024-08-20,10.94683574,11.92121349,10.94683574,11.92121349,718.1198464,0.45793258,1814751863.0,183930796.0
2024-08-19,10.93689311,10.93689311,10.93689311,10.93689311,1.0,0.456327797,1798402686.0,183930796.0
2024-08-16,10.93689311,10.93689311,10.93689311,10.93689311,180.0328466,0.456327797,1798402686.0,183930796.0
2024-08-15,10.93689311,10.93689311,10.93689311,10.93689311,80.46160744,0.451943158,1798402686.0,183930796.0
2024-08-14,10.93689311,11.93115612,10.93689311,11.93115612,134.7731925,0.458160525,1961893839.0,183930796.0
2024-08-13,11.93115612,11.93115612,11.93115612,11.93115612,363.0830036,0.44215679,1961893839.0,183930796.0
2024-08-12,12.13000872,12.13000872,11.93115612,12.13000872,1.0,0.437327503,1961893839.0,183930796.0
2024-08-09,12.13000872,12.13000872,11.93115612,12.13000872,1.0,0.437327503,1961893839.0,183930796.0
2024-08-08,12.13000872,12.13000872,11.93115612,12.13000872,301.7310279,0.437327503,1961893839.0,183930796.0
2024-08-07,12.1896645,12.1896645,12.17972187,12.17972187,8270.447474,0.437471846,2006036525.0,183930796.0
2024-08-06,12.20954976,12.20954976,12.1896645,12.1896645,60.34620558,0.423375427,2006036525.0,183930796.0
2024-08-05,12.32886132,12.32886132,12.22943502,12.22943502,95.54815883,0.422774121,2010941216.0,183930796.0
2024-08-02,12.22943502,12.22943502,12.22943502,12.22943502,144.8308934,0.42237139,2010941216.0,183930796.0
2024-08-01,12.32886132,12.32886132,12.31891869,12.31891869,80.46160744,0.40440054,2025655445.0,183930796.0
2024-07-31,12.22943502,12.22943502,12.21949239,12.21949239,183.0501569,0.405261946,2009306267.0,183930796.0
2024-07-30,12.27914817,12.27914817,12.27914817,12.27914817,38.21926353,0.4203851,2019115805.0,183930796.0
2024-07-29,12.37857447,12.37857447,12.37857447,12.37857447,15.08655139,0.42248547,2010941216.0,183930796.0
2024-07-26,12.35868921,12.35868921,12.22943502,12.22943502,241.3848223,0.423119469,2010941216.0,183930796.0
2024-07-25,11.93115612,12.03058242,11.92121349,11.92121349,202.1597887,0.422140746,1960258890.0,183930796.0
2024-07-24,12.57742708,12.6171976,11.93115612,11.93115612,1.0,0.42285954,1961893839.0,183930796.0
2024-07-23,12.57742708,12.6171976,11.93115612,11.93115612,1612.249459,0.42285954,1961893839.0,183930796.0
2024-07-22,11.93115612,11.93115612,11.93115612,11.93115612,1.0,0.423437702,1961893839.0,183930796.0
2024-07-19,11.93115612,11.93115612,11.93115612,11.93115612,1.0,0.423437702,1961893839.0,183930796.0
2024-07-18,11.93115612,11.93115612,11.93115612,11.93115612,233.3386616,0.423437702,1961893839.0,183930796.0
2024-07-17,12.57742708,12.57742708,11.93115612,11.93115612,879.0430613,0.424891278,1961893839.0,183930796.0
2024-07-16,12.77627968,12.77627968,12.57742708,12.62714023,550.1562409,0.416947879,2076337615.0,183930796.0
2024-07-15,12.82599283,12.82599283,10.88717996,10.88717996,304.7483382,0.000101901,1790228097.0,183930796.0
2024-07-12,10.88717996,10.88717996,10.78775366,10.88717996,207.1886392,0.017779068,1790228097.0,183930796.0
2024-07-11,10.88717996,10.88717996,10.78775366,10.88717996,167.9636055,0.042340219,1773879075.0,183930796.0
2024-07-10,10.83746681,10.83746681,10.78775366,10.78775366,200.1482485,0.028807666,1773879075.0,183930796.0
2024-07-09,9.4454986,10.93689311,9.4454986,10.93689311,32.18464297,0.02584009,1553165956.0,183930796.0
2024-07-08,9.4454986,9.4454986,9.4454986,9.4454986,1.0,0.037347411,1553165956.0,183930796.0
2024-07-05,9.4454986,9.4454986,9.4454986,9.4454986,1.0,0.037347411,1553165956.0,183930796.0
2024-07-04,9.4454986,9.4454986,9.4454986,9.4454986,100.5770093,0.037347411,1553165956.0,183930796.0
2024-07-03,9.24664599,9.24664599,9.24664599,9.24664599,116.6693308,0.067111868,1520467756.0,183930796.0
2024-07-02,9.4454986,9.4454986,9.24664599,9.24664599,632.6293885,0.067755168,1520467756.0,183930796.0
2024-07-01,7.90439093,7.95410408,7.90439093,7.95410408,422.4234391,-0.000939889,1307929226.0,183930796.0
2024-06-28,7.95410408,7.95410408,7.95410408,7.95410408,70.40390651,0.002132874,1307929226.0,183930796.0
2024-06-27,7.95410408,7.95410408,7.95410408,7.95410408,18.10386167,0.006327623,1307929226.0,183930796.0
2024-06-26,7.95410408,7.95410408,7.95410408,7.95410408,55.31735511,0.009384782,1307929226.0,183930796.0
2024-06-25,7.95410408,7.95410408,7.90439093,7.95410408,137.7905027,0.009572285,1307929226.0,183930796.0
2024-06-24,7.95410408,7.95410408,7.14875104,7.14875104,1.0,0.009105926,1175501401.0,183930796.0
2024-06-21,7.95410408,7.95410408,7.14875104,7.14875104,170.9809158,0.009105926,1175501401.0,183930796.0
2024-06-20,8.15295668,8.15295668,8.15295668,8.15295668,150.8655139,-0.011120633,1175501401.0,183930796.0
2024-06-19,8.35180928,8.35180928,7.14875104,7.14875104,1.0,-0.010206808,1175501401.0,183930796.0
2024-06-18,8.35180928,8.35180928,7.14875104,7.14875104,51.29427474,-0.010206808,1175501401.0,183930796.0
2024-06-17,8.55066189,8.55066189,7.14875104,7.14875104,1.0,-0.009294216,1175501401.0,183930796.0
2024-06-14,8.55066189,8.55066189,7.14875104,7.14875104,604.4678259,-0.009294216,1175501401.0,183930796.0
