time,open,high,low,close,Volume,Beta,Mkt cap,Total common shares outstanding
2024-12-30,19.0,23.11,19.0,23.0,15720.0,0.127611164,1112168779.0,48215000.0
2024-12-27,20.9,20.9,20.9,20.9,855.0,0.158023673,1005812482.0,48215000.0
2024-12-26,19.6,21.0,19.6,21.0,889.0,0.34421508,1010625000.0,48215000.0
2024-12-25,21.07,21.07,21.07,21.07,1.0,0.378426124,940843713.0,48215000.0
2024-12-24,21.07,21.07,21.07,21.07,1.0,0.378426124,940843713.0,48215000.0
2024-12-23,21.07,21.07,21.07,21.07,33.0,0.378426124,940843713.0,48215000.0
2024-12-20,19.2,19.55,19.2,19.55,5013.0,0.376058303,940843713.0,48215000.0
2024-12-19,19.15,19.15,19.15,19.15,2013.0,0.389324642,921593732.0,48215000.0
2024-12-18,19.19,19.19,19.15,19.15,4654.0,0.404439569,921593732.0,48215000.0
2024-12-17,19.19,19.19,19.19,19.19,550.0,0.398689801,924000037.0,48215000.0
2024-12-16,19.25,19.25,19.2,19.2,72.0,0.39923412,924000037.0,48215000.0
2024-12-13,19.2,19.2,19.0,19.15,208.0,0.400594533,921593732.0,48215000.0
2024-12-12,19.24,19.24,19.01,19.01,392.0,0.399629269,914856261.0,48215000.0
2024-12-11,19.24,19.25,19.01,19.25,134089.0,0.398508701,926406250.0,48215000.0
2024-12-10,19.25,19.25,19.25,19.25,176.0,0.401332364,926406250.0,48215000.0
2024-12-09,19.25,19.25,19.23,19.24,26.0,0.401788535,914375000.0,48215000.0
2024-12-06,19.39,19.39,19.0,19.0,1.0,0.387538361,914375000.0,48215000.0
2024-12-05,19.39,19.39,19.0,19.0,85.0,0.387538361,914375000.0,48215000.0
2024-12-04,19.4,19.4,19.4,19.4,491.0,0.384889334,933624982.0,48215000.0
2024-12-03,19.45,19.45,19.45,19.45,1.0,0.384733858,948062537.0,48215000.0
2024-12-02,19.45,19.45,19.45,19.45,41.0,0.384733858,948062537.0,48215000.0
2024-11-29,19.7,19.7,19.59,19.59,563.0,0.384265488,948062537.0,48215000.0
2024-11-28,19.66,19.66,19.66,19.66,1120.0,0.384260685,948062537.0,48215000.0
2024-11-27,19.7,19.7,19.7,19.7,225.0,0.384439665,948062537.0,48215000.0
2024-11-26,19.7,19.7,19.7,19.7,158.0,0.384872458,948062537.0,48215000.0
2024-11-25,19.45,19.45,19.45,19.45,511.0,0.385250001,936031287.0,48215000.0
2024-11-22,19.45,19.45,19.4,19.4,803.0,0.38934956,936031287.0,48215000.0
2024-11-21,19.45,19.45,19.45,19.45,15.0,0.388544023,936031287.0,48215000.0
2024-11-20,19.45,19.45,19.45,19.45,204.0,0.385022834,936031287.0,48215000.0
2024-11-19,19.65,19.65,18.5,19.5,1762.0,0.384994712,938437500.0,48215000.0
2024-11-18,19.6,19.6,18.3,19.5,1.0,0.385205885,938437500.0,48215000.0
2024-11-15,19.6,19.6,18.3,19.5,101.0,0.385205885,938437500.0,48215000.0
2024-11-14,19.5,19.5,19.5,19.5,757.0,0.385026044,938437500.0,48215000.0
2024-11-13,19.5,19.65,19.5,19.65,1183.0,0.385220178,938437500.0,48215000.0
2024-11-12,19.5,19.5,19.49,19.49,260.0,0.385168506,937956239.0,48215000.0
2024-11-11,19.3,19.3,18.0,19.3,2551.0,0.385500605,866250000.0,48215000.0
2024-11-08,19.1,19.2,19.0,19.2,6139.0,0.385387346,924000037.0,48215000.0
2024-11-07,19.1,19.1,19.1,19.1,106.0,0.390554823,919187518.0,48215000.0
2024-11-06,19.2,19.2,19.1,19.1,2242.0,0.39102551,921593732.0,48215000.0
2024-11-05,19.2,19.2,19.2,19.2,111.0,0.390615051,924000037.0,48215000.0
2024-11-04,19.1,19.1,19.1,19.1,1.0,0.394681753,919187518.0,48215000.0
2024-11-01,19.1,19.1,19.1,19.1,715.0,0.394681753,919187518.0,48215000.0
2024-10-31,18.7,18.7,18.7,18.7,66.0,0.388766988,899937537.0,48215000.0
2024-10-30,17.48,17.5,17.48,17.5,6772.0,0.382030612,842187500.0,48215000.0
2024-10-29,17.41,18.7,17.35,17.4,2920.0,0.38229997,837374982.0,48215000.0
2024-10-28,17.4,17.4,17.4,17.4,357.0,0.38413409,837374982.0,48215000.0
2024-10-25,19.2,19.2,19.0,19.0,33.0,0.380938445,839781287.0,48215000.0
2024-10-24,19.5,19.5,17.45,17.45,190.0,0.373343699,839781287.0,48215000.0
2024-10-23,19.5,19.5,19.5,19.5,157.0,0.379291476,938437500.0,48215000.0
2024-10-22,19.45,19.5,19.45,19.5,132739.0,0.379664487,938437500.0,48215000.0
2024-10-21,19.3,19.5,19.3,19.5,5000.0,0.379663802,938437500.0,48215000.0
2024-10-18,19.2,19.2,19.2,19.2,1105.0,0.377308245,924000037.0,48215000.0
2024-10-17,19.0,19.2,19.0,19.2,110.0,0.38104259,924000037.0,48215000.0
2024-10-16,19.5,19.5,19.5,19.5,50.0,0.381514217,909562482.0,48215000.0
2024-10-15,18.5,18.9,18.5,18.9,1823.0,0.380539962,909562482.0,48215000.0
2024-10-14,18.9,18.9,18.9,18.9,51.0,0.380041341,909562482.0,48215000.0
2024-10-11,18.9,18.9,18.5,18.9,696.0,0.378167911,909562482.0,48215000.0
