time,open,high,low,close,Volume,Beta,Mkt cap,Total common shares outstanding
12/30/24,6.95,6.95,6.94,6.94,160484,0.080737322,4858000040,700000000
12/27/24,6.95,6.95,6.6,6.6,100581,0.066144344,4864999866,700000000
12/26/24,6.6,6.6,6.6,6.6,100745,0.064520413,4619999933,700000000
12/25/24,6.92,6.92,6.6,6.6,1,0.071789363,4619999933,700000000
12/24/24,6.92,6.92,6.6,6.6,1,0.071789363,4619999933,700000000
12/23/24,6.92,6.92,6.6,6.6,597,0.071789363,4619999933,700000000
12/20/24,6.92,6.92,6.6,6.6,325,0.058221412,4619999933,700000000
12/19/24,6.9,6.95,6.9,6.92,101014,0.063626591,4844000053,700000000
12/18/24,6.9,6.9,6.9,6.9,85,0.061944585,4830000067,700000000
12/17/24,6.9,6.9,6.9,6.9,70309,0.07442521,4830000067,700000000
12/16/24,6.9,6.9,6.9,6.9,308,0.074139873,4830000067,700000000
12/13/24,6.95,6.95,6.95,6.95,374,0.073057646,4864999866,700000000
12/12/24,6.95,6.95,6.95,6.95,130,0.068296153,4864999866,700000000
12/11/24,6.95,6.95,6.95,6.95,64360,0.06073515,4864999866,700000000
12/10/24,6.9,6.95,6.9,6.95,595,0.059368021,4864999866,700000000
12/9/24,6.9,6.95,6.9,6.95,845,0.05965633,4864999866,700000000
12/6/24,7,7,7,7,1,0.041857925,4900000000,700000000
12/5/24,7,7,7,7,61291,0.041857925,4900000000,700000000
12/4/24,7.2,7.2,7,7.15,2686,0.03941754,5025999880,700000000
12/3/24,7.2,7.2,7,7,60919,0.06085319,4900000000,700000000
12/2/24,7.3,7.3,7,7,458,0.073914444,4900000000,700000000
11/29/24,7.3,7.3,6.8,7,203131,0.080108297,4900000000,700000000
11/28/24,7.5,7.5,7.3,7.3,201459,0.074676135,5110000134,700000000
11/27/24,7.5,7.5,7.45,7.45,150128,0.056649344,5250000000,700000000
11/26/24,7.5,7.5,7.5,7.5,1238,0.090787852,5250000000,700000000
11/25/24,7.5,7.5,7.5,7.5,422,0.093420742,5250000000,700000000
11/22/24,7.5,7.5,7.5,7.5,123,0.124879818,5250000000,700000000
11/21/24,7.5,7.5,7.5,7.5,90372,0.149765935,5250000000,700000000
11/20/24,7.25,8.3,7.25,7.7,2031,0.148969368,5704999733,700000000
11/19/24,6.4,7.5,6.4,7.25,1636,0.158549304,5075000000,700000000
11/18/24,6.9,6.9,6.85,6.85,1,0.157814343,4794999933,700000000
11/15/24,6.9,6.9,6.85,6.85,79,0.157814343,4794999933,700000000
11/14/24,6.85,6.85,6.7,6.85,624,0.157955053,4794999933,700000000
11/13/24,6.85,6.85,6.85,6.85,304,0.300084082,4794999933,700000000
11/12/24,6.95,6.95,6.75,6.85,50383,0.296221928,4794999933,700000000
11/11/24,6.99,6.99,6.35,6.5,3687,0.244836385,4550000000,700000000
11/8/24,7,7,6.98,7,518,0.252168487,4892999840,700000000
