time,open,high,low,close,Volume,Beta,Mkt cap,Total common shares outstanding
2024-12-30,25.21,25.21,24.0,24.9,309.0,0.572920192,3160407641.0,125923808.0
2024-12-27,21.6,21.6,21.6,21.6,9243.0,0.528843991,2741558526.0,125923808.0
2024-12-26,23.09,23.09,21.6,21.6,142.0,0.528117205,2917982814.0,125923808.0
2024-12-25,22.88,22.88,22.88,22.88,1.0,0.522234032,2728866077.0,125923808.0
2024-12-24,22.88,22.88,22.88,22.88,1.0,0.522234032,2728866077.0,125923808.0
2024-12-23,22.88,22.88,22.88,22.88,44.0,0.522234032,2728866077.0,125923808.0
2024-12-20,20.5,21.5,20.5,21.5,710.0,0.524905847,2728866077.0,125923808.0
2024-12-19,20.5,20.5,19.0,20.5,3266.0,0.51575476,2601942074.0,125923808.0
2024-12-18,20.0,20.5,20.0,20.5,692.0,0.538917331,2601942074.0,125923808.0
2024-12-17,20.0,20.0,20.0,20.0,726.0,0.537949966,2538480072.0,125923808.0
2024-12-16,20.0,20.5,20.0,20.0,427.0,0.538376021,2601942074.0,125923808.0
2024-12-13,20.54,20.54,20.0,20.0,266.0,0.545111262,2538480072.0,125923808.0
2024-12-12,19.99,20.99,19.99,20.99,1.0,0.535227289,2664134807.0,125923808.0
2024-12-11,19.99,20.99,19.99,20.99,18500.0,0.535227289,2664134807.0,125923808.0
2024-12-10,20.0,20.0,20.0,20.0,10683.0,0.527100613,2538480072.0,125923808.0
2024-12-09,20.99,20.99,20.99,20.99,3.0,0.521016749,2538480072.0,125923808.0
2024-12-06,19.5,20.0,19.0,20.0,340.0,0.523002036,2538480072.0,125923808.0
2024-12-05,21.98,21.98,20.0,20.0,33641.0,0.541856342,2538480072.0,125923808.0
2024-12-04,22.0,22.0,21.89,21.89,103.0,0.611384126,2778366361.0,125923808.0
2024-12-03,22.0,22.0,21.8,22.0,3649.0,0.611390707,2792328079.0,125923808.0
2024-12-02,22.0,22.0,21.5,21.5,167.0,0.60539227,2792328079.0,125923808.0
2024-11-29,22.0,22.0,22.0,22.0,10.0,0.7247292,2855790081.0,125923808.0
2024-11-28,22.5,22.5,22.35,22.39,723.0,0.716822467,2855790081.0,125923808.0
2024-11-27,22.5,22.5,22.5,22.5,190.0,0.670856321,2855790081.0,125923808.0
2024-11-26,22.5,22.5,22.4,22.4,3350.0,0.66982481,2843097632.0,125923808.0
2024-11-25,23.0,23.0,22.5,22.5,720.0,0.669822264,2855790081.0,125923808.0
2024-11-22,22.98,22.98,22.5,22.5,1.0,0.717416315,2855790081.0,125923808.0
2024-11-21,22.98,22.98,22.5,22.5,3790.0,0.717416315,2855790081.0,125923808.0
2024-11-20,19.0,23.5,19.0,23.0,10335.0,0.71857718,2919252083.0,125923808.0
2024-11-19,22.6,22.69,22.6,22.65,784.0,0.718590568,2874828633.0,125923808.0
2024-11-18,22.8,22.8,20.0,22.75,1.0,0.718496323,2887521082.0,125923808.0
2024-11-15,22.8,22.8,20.0,22.75,107.0,0.718496323,2887521082.0,125923808.0
2024-11-14,22.85,22.99,22.79,22.99,521.0,0.715439097,2917982814.0,125923808.0
2024-11-13,22.79,23.45,22.79,22.85,2679.0,0.716725003,2900213531.0,125923808.0
2024-11-12,23.5,23.5,22.0,22.89,356.0,0.718437826,2900213531.0,125923808.0
2024-11-11,23.67,23.67,21.5,23.5,8289.0,0.726670599,2982714085.0,125923808.0
2024-11-08,23.65,23.65,23.65,23.65,4295.0,0.728413978,3004291175.0,125923808.0
2024-11-07,23.79,23.8,23.0,23.67,584.0,0.730281635,3004291175.0,125923808.0
2024-11-06,22.0,25.0,22.0,23.9,4828.0,0.717680306,3044906817.0,125923808.0
2024-11-05,25.0,25.0,23.99,23.99,17034.0,0.723839438,3173100090.0,125923808.0
2024-11-04,25.39,25.39,25.39,25.39,1.0,0.719708265,3222600374.0,125923808.0
2024-11-01,25.39,25.39,25.39,25.39,3064.0,0.719708265,3222600374.0,125923808.0
2024-10-31,25.39,25.39,25.39,25.39,223.0,0.71965612,3222600374.0,125923808.0
2024-10-30,25.39,25.39,25.39,25.39,92.0,0.721546896,3222600374.0,125923808.0
2024-10-29,25.3,25.3,25.2,25.2,30.0,0.721553485,3211177194.0,125923808.0
2024-10-28,25.5,25.5,25.3,25.3,16622.0,0.721594208,3211177194.0,125923808.0
2024-10-25,25.5,25.5,25.5,25.5,10.0,0.721707579,3236562092.0,125923808.0
2024-10-24,22.51,25.5,22.51,25.5,563.0,0.724505926,3236562092.0,125923808.0
2024-10-23,26.43,26.43,25.5,25.5,32.0,0.728383936,3362216826.0,125923808.0
2024-10-22,26.5,26.5,26.45,26.45,4109.0,0.723218238,3362216826.0,125923808.0
2024-10-21,26.5,26.5,26.5,26.5,100406.0,0.720562619,3363486095.0,125923808.0
2024-10-18,26.5,26.5,26.5,26.5,19.0,0.720904866,3363486095.0,125923808.0
2024-10-17,26.5,26.5,26.5,26.5,694.0,0.723165232,3363486095.0,125923808.0
2024-10-16,26.5,26.5,26.49,26.49,348.0,0.723189753,3362216826.0,125923808.0
2024-10-15,26.5,26.5,26.44,26.44,6235.0,0.722560596,3357139992.0,125923808.0
2024-10-14,25.49,25.49,25.49,25.49,9.0,0.722266759,3135022986.0,125923808.0
2024-10-11,24.7,24.7,24.7,24.7,1150.0,0.721837686,3135022986.0,125923808.0
2024-10-10,22.9,23.0,22.9,23.0,20705.0,0.718694526,2919252083.0,125923808.0
2024-10-09,22.9,22.9,22.9,22.9,1182.0,0.721269588,2906559634.0,125923808.0
2024-10-08,22.9,22.9,22.9,22.9,216.0,0.722059124,2906559634.0,125923808.0
2024-10-07,22.9,22.9,22.9,22.9,61.0,0.721961374,2906559634.0,125923808.0
2024-10-04,22.4,22.4,22.4,22.4,321.0,0.721149118,2843097632.0,125923808.0
2024-10-03,22.4,22.4,22.4,22.4,1087.0,0.722324845,2843097632.0,125923808.0
2024-10-02,21.1,21.1,21.1,21.1,19.0,0.724894826,2843097632.0,125923808.0
2024-10-01,22.4,22.4,22.4,22.4,62.0,0.717289356,2843097632.0,125923808.0
2024-09-30,22.5,22.5,22.0,22.0,1742.0,0.721724042,2792328079.0,125923808.0
2024-09-27,23.0,23.0,23.0,23.0,508.0,0.714457206,2919252083.0,125923808.0
2024-09-26,23.5,23.5,23.0,23.0,180.0,0.714362507,2919252083.0,125923808.0
2024-09-25,24.0,24.0,23.0,23.5,296.0,0.713145927,2982714085.0,125923808.0
2024-09-24,24.98,24.98,23.5,23.5,1330.0,0.714937076,2982714085.0,125923808.0
2024-09-23,25.0,25.0,24.98,24.98,827.0,0.711453749,3170561552.0,125923808.0
2024-09-20,25.3,25.3,25.3,25.3,1.0,0.710048145,3211177194.0,125923808.0
2024-09-19,25.3,25.3,25.3,25.3,235.0,0.710048145,3211177194.0,125923808.0
2024-09-18,25.49,25.49,25.0,25.3,8005.0,0.70889884,3173100090.0,125923808.0
2024-09-17,25.5,25.5,25.4,25.4,337.0,0.710221527,3223869643.0,125923808.0
2024-09-16,25.6,25.6,24.8,24.8,1.0,0.710395864,3147715192.0,125923808.0
2024-09-13,25.6,25.6,24.8,24.8,205.0,0.710395864,3147715192.0,125923808.0
2024-09-12,25.5,25.5,25.5,25.5,2577.0,0.712321914,3236562092.0,125923808.0
2024-09-11,25.0,26.0,25.0,25.5,7233.0,0.713323361,3300024094.0,125923808.0
2024-09-10,27.0,27.0,27.0,27.0,2642.0,0.70655154,3426948097.0,125923808.0
2024-09-09,23.0,23.0,23.0,23.0,365.0,0.691055059,2919252083.0,125923808.0
2024-09-06,23.99,24.0,23.99,24.0,513.0,0.693677514,3046176086.0,125923808.0
2024-09-05,23.799999,23.99,23.0,23.99,107.0,0.686427329,2919252083.0,125923808.0
2024-09-04,23.799999,23.799999,23.700001,23.700001,335.0,0.68789059,3008098982.0,125923808.0
2024-09-03,23.99,23.99,23.5,23.799999,45.0,0.687397139,3020791189.0,125923808.0
2024-09-02,24.0,24.0,24.0,24.0,219.0,0.685225769,3046176086.0,125923808.0
2024-08-30,24.0,24.0,24.0,24.0,1.0,0.693221543,3046176086.0,125923808.0
2024-08-29,24.0,24.0,24.0,24.0,361.0,0.693221543,3046176086.0,125923808.0
2024-08-28,24.0,24.0,24.0,24.0,100353.0,0.693241797,3046176086.0,125923808.0
2024-08-27,24.879999,24.879999,23.0,23.5,1426.0,0.695552932,2982714085.0,125923808.0
2024-08-26,24.889999,24.889999,24.889999,24.889999,3012.0,0.69129962,3159138372.0,125923808.0
2024-08-23,22.49,24.889999,22.49,24.889999,2258.0,0.691966108,3159138372.0,125923808.0
2024-08-22,22.0,22.0,22.0,22.0,7570.0,0.687779426,2792328079.0,125923808.0
2024-08-21,22.450001,22.450001,22.0,22.0,7485.0,0.692747743,2792328079.0,125923808.0
2024-08-20,21.9,21.9,21.9,21.9,312.0,0.697140376,2779635630.0,125923808.0
2024-08-19,22.450001,22.450001,21.9,21.9,1.0,0.69632611,2779635630.0,125923808.0
2024-08-16,22.450001,22.450001,21.9,21.9,212.0,0.69632611,2779635630.0,125923808.0
2024-08-15,22.5,22.5,22.4,22.4,16.0,0.695305226,2855790081.0,125923808.0
2024-08-14,23.299999,23.299999,22.5,22.5,170.0,0.698981858,2855790081.0,125923808.0
2024-08-13,24.690001,24.690001,23.5,23.5,776.0,0.691688643,2982714085.0,125923808.0
2024-08-12,24.700001,24.700001,21.0,21.0,735.0,0.702735121,2665404076.0,125923808.0
2024-08-09,24.950001,24.950001,24.700001,24.700001,1.0,0.667749347,3135022986.0,125923808.0
2024-08-08,24.950001,24.950001,24.700001,24.700001,1.0,0.667749347,3135022986.0,125923808.0
2024-08-07,24.950001,24.950001,24.700001,24.700001,169.0,0.667749347,3135022986.0,125923808.0
2024-08-06,24.950001,24.950001,21.0,24.940001,298.0,0.659353877,2665404076.0,125923808.0
2024-08-05,25.0,25.0,24.889999,24.889999,31.0,0.65937868,3159138372.0,125923808.0
2024-08-02,24.969999,24.969999,24.959999,24.959999,47.0,0.657688441,3168023014.0,125923808.0
2024-08-01,24.99,24.99,24.99,24.99,525.0,0.658189674,3171830821.0,125923808.0
2024-07-31,25.0,25.0,25.0,25.0,1.0,0.66433009,3173100090.0,125923808.0
2024-07-30,25.0,25.0,25.0,25.0,1.0,0.66433009,3173100090.0,125923808.0
2024-07-29,25.0,25.0,25.0,25.0,821.0,0.66433009,3173100090.0,125923808.0
2024-07-26,21.5,23.0,21.5,23.0,38362.0,0.671961985,2919252083.0,125923808.0
2024-07-25,22.5,22.5,20.5,21.5,16034.0,0.667344171,2728866077.0,125923808.0
2024-07-24,22.9,22.9,20.0,21.0,1.0,0.666049528,2665404076.0,125923808.0
2024-07-23,22.9,22.9,20.0,21.0,391.0,0.666049528,2665404076.0,125923808.0
2024-07-22,23.0,23.0,20.0,20.5,172.0,0.664427188,2601942074.0,125923808.0
2024-07-19,20.0,22.440001,20.0,21.75,13.0,0.659164174,2665404076.0,125923808.0
