time,open,high,low,close,Volume,Beta,Mkt cap,Total common shares outstanding
2024-12-30,17.93,17.93,17.93,17.93,20.0,-0.070671579,1214593362.0,81081000.0
2024-12-27,17.96,17.96,14.98,14.98,546.0,-0.074762187,1214593362.0,81081000.0
2024-12-26,14.98,14.98,14.0,14.98,1240.0,-0.071541864,1214593362.0,81081000.0
2024-12-25,15.77,15.77,15.77,15.77,1.0,-0.07265158,1278647427.0,81081000.0
2024-12-24,15.77,15.77,15.77,15.77,1.0,-0.07265158,1278647427.0,81081000.0
2024-12-23,15.77,15.77,15.77,15.77,2.0,-0.07265158,1278647427.0,81081000.0
2024-12-20,13.15,13.15,12.95,12.95,11.0,-0.072077665,1066215136.0,81081000.0
2024-12-19,13.15,13.15,13.15,13.15,140.0,-0.068962486,1066215136.0,81081000.0
2024-12-18,10.97,10.97,10.97,10.97,1.0,-0.007378877,889458606.0,81081000.0
2024-12-17,10.97,10.97,10.97,10.97,311.0,-0.007378877,889458606.0,81081000.0
2024-12-16,8.0,8.0,8.0,8.0,1.0,0.004939027,745134368.0,81081000.0
2024-12-13,8.0,8.0,8.0,8.0,1.0,0.004939027,745134368.0,81081000.0
2024-12-12,8.0,8.0,8.0,8.0,1.0,0.004939027,745134368.0,81081000.0
2024-12-11,8.0,8.0,8.0,8.0,43.0,0.004939027,745134368.0,81081000.0
2024-12-10,9.98,9.98,9.98,9.98,1.0,-0.00070279,745134368.0,81081000.0
2024-12-09,9.98,9.98,9.98,9.98,29.0,-0.00070279,745134368.0,81081000.0
2024-12-06,9.9,9.9,9.9,9.9,1.0,-0.002496891,745134368.0,81081000.0
2024-12-05,9.9,9.9,9.9,9.9,1.0,-0.002496891,745134368.0,81081000.0
2024-12-04,9.9,9.9,9.9,9.9,80.0,-0.002496891,745134368.0,81081000.0
2024-12-03,9.19,9.19,9.19,9.19,1.0,-0.000362214,745134368.0,81081000.0
2024-12-02,9.19,9.19,9.19,9.19,1.0,-0.000362214,745134368.0,81081000.0
2024-11-29,9.19,9.19,9.19,9.19,296.0,-0.000362214,745134368.0,81081000.0
2024-11-28,9.16,9.21,9.16,9.2,588.0,0.006321355,746756025.0,81081000.0
2024-11-27,9.22,9.22,9.18,9.18,1045.0,0.004730789,744323617.0,81081000.0
2024-11-26,9.23,9.23,9.16,9.16,1.0,0.004857031,742701959.0,81081000.0
2024-11-25,9.23,9.23,9.16,9.16,1.0,0.004857031,742701959.0,81081000.0
2024-11-22,9.23,9.23,9.16,9.16,1.0,0.004857031,742701959.0,81081000.0
2024-11-21,9.23,9.23,9.16,9.16,1.0,0.004857031,742701959.0,81081000.0
2024-11-20,9.23,9.23,9.16,9.16,225.0,0.004857031,742701959.0,81081000.0
2024-11-19,9.16,9.16,9.16,9.16,1.0,0.004813944,742701959.0,81081000.0
2024-11-18,9.16,9.16,9.16,9.16,1.0,0.004813944,742701959.0,81081000.0
2024-11-15,9.16,9.16,9.16,9.16,240.0,0.004813944,742701959.0,81081000.0
2024-11-14,9.23,9.23,9.0,9.22,1150.0,0.004507141,747566853.0,81081000.0
2024-11-13,9.19,9.23,9.19,9.2,790.0,0.010592487,748377605.0,81081000.0
2024-11-12,9.22,9.22,9.22,9.22,1.0,0.019343129,748377605.0,81081000.0
2024-11-11,9.22,9.22,9.22,9.22,50.0,0.019343129,748377605.0,81081000.0
2024-11-08,9.23,9.23,9.23,9.23,515.0,0.06529743,748377605.0,81081000.0
2024-11-07,9.25,9.25,9.25,9.25,432.0,0.065847246,749999262.0,81081000.0
2024-11-06,10.0,10.0,9.25,9.25,178.0,0.069909422,749999262.0,81081000.0
2024-11-05,9.24,9.24,9.24,9.24,5.0,0.069787952,749999262.0,81081000.0
2024-11-04,9.25,9.25,9.25,9.25,1.0,0.0691509,749999262.0,81081000.0
2024-11-01,9.25,9.25,9.25,9.25,350.0,0.0691509,749999262.0,81081000.0
2024-10-31,9.1,9.1,9.1,9.1,163.0,0.069368044,737837143.0,81081000.0
2024-10-30,9.1,9.1,9.1,9.1,462.0,0.069732237,737837143.0,81081000.0
2024-10-29,9.0,9.0,9.0,9.0,18.0,0.06965909,786485697.0,81081000.0
2024-10-28,9.74,9.74,9.7,9.74,1.0,0.067856237,786485697.0,81081000.0
2024-10-25,9.74,9.74,9.7,9.74,50.0,0.067856237,786485697.0,81081000.0
2024-10-24,9.0,9.0,9.0,9.0,70.0,0.066971866,786485697.0,81081000.0
2024-10-23,9.71,9.72,9.7,9.7,1.0,0.066175772,786485697.0,81081000.0
2024-10-22,9.71,9.72,9.7,9.7,1275.0,0.066175772,786485697.0,81081000.0
