time,open,high,low,close,Volume,Beta,Mkt cap,Total common shares outstanding
2024-12-30,19.5,19.5,19.5,19.5,1080.0,0.269957507,472896907.0,48502248.0
2024-12-27,19.5,19.5,19.5,19.5,19432.0,0.271879711,472896907.0,48502248.0
2024-12-26,19.5,19.5,19.5,19.5,218.0,0.240346548,472896907.0,48502248.0
2024-12-25,19.5,19.5,19.5,19.5,1.0,0.291192932,472896907.0,48502248.0
2024-12-24,19.5,19.5,19.5,19.5,1.0,0.291192932,472896907.0,48502248.0
2024-12-23,19.5,19.5,19.5,19.5,24115.0,0.291192932,472896907.0,48502248.0
2024-12-20,19.5,19.5,19.5,19.5,1.0,0.304553982,465621588.0,48502248.0
2024-12-19,19.5,19.5,19.5,19.5,1.0,0.304553982,465621588.0,48502248.0
2024-12-18,19.5,19.5,19.5,19.5,16.0,0.304553982,465621588.0,48502248.0
2024-12-17,19.49,19.5,19.2,19.2,1528.0,0.304699312,465621588.0,48502248.0
2024-12-16,19.5,19.5,19.49,19.49,588.0,0.30490142,472654390.0,48502248.0
2024-12-13,19.39,19.39,19.39,19.39,26.0,0.305220212,484779952.0,48502248.0
2024-12-12,19.49,19.49,19.49,19.49,1.0,0.30475015,484779952.0,48502248.0
2024-12-11,19.49,19.49,19.49,19.49,10.0,0.30475015,484779952.0,48502248.0
2024-12-10,20.0,20.0,19.99,19.99,61.0,0.30377155,484779952.0,48502248.0
2024-12-09,19.9,19.9,19.9,19.9,5.0,0.303730878,485022469.0,48502248.0
2024-12-06,20.0,20.0,20.0,20.0,121.0,0.30017805,485022469.0,48502248.0
2024-12-05,20.0,20.0,20.0,20.0,595.0,0.2977485,485022469.0,48502248.0
2024-12-04,20.0,20.4,20.0,20.4,502.0,0.383418848,485022469.0,48502248.0
2024-12-03,20.5,20.5,20.5,20.5,1.0,0.379729806,475322028.0,48502248.0
2024-12-02,20.5,20.5,20.5,20.5,4.0,0.379729806,475322028.0,48502248.0
2024-11-29,19.55,19.6,19.55,19.6,288.0,0.406817023,475322028.0,48502248.0
2024-11-28,20.48,20.48,20.48,20.48,8.0,0.396486194,474109445.0,48502248.0
2024-11-27,20.49,20.49,19.55,20.49,10900.0,0.396354033,474109445.0,48502248.0
2024-11-26,21.0,21.0,20.99,20.99,10855.0,0.39493227,473139424.0,48502248.0
2024-11-25,19.51,19.51,19.51,19.51,103.0,0.398050135,473139424.0,48502248.0
2024-11-22,19.5,19.5,19.5,19.5,30.0,0.400187479,472896907.0,48502248.0
2024-11-21,19.5,19.5,19.5,19.5,56.0,0.393654782,472896907.0,48502248.0
2024-11-20,19.5,19.5,19.5,19.5,92.0,0.393667769,472896907.0,48502248.0
2024-11-19,19.5,19.5,19.5,19.5,42.0,0.370436706,478717171.0,48502248.0
2024-11-18,19.75,19.75,19.7,19.74,1.0,0.370160837,478717171.0,48502248.0
2024-11-15,19.75,19.75,19.7,19.74,521.0,0.370160837,478717171.0,48502248.0
2024-11-14,19.85,19.85,19.6,19.6,120.0,0.370431486,475322028.0,48502248.0
2024-11-13,19.9,19.9,19.9,19.9,5.0,0.338158473,481384809.0,48502248.0
2024-11-12,19.85,19.9,19.85,19.9,3681.0,0.33842544,481384809.0,48502248.0
2024-11-11,19.9,19.9,19.9,19.9,10.0,0.337777942,460771345.0,48502248.0
2024-11-08,19.0,19.0,19.0,19.0,615.0,0.340554697,460771345.0,48502248.0
2024-11-07,19.0,19.0,19.0,19.0,20.0,0.338631869,460528828.0,48502248.0
2024-11-06,19.98,19.98,19.98,19.98,50.0,0.336961544,460528828.0,48502248.0
2024-11-05,19.99,19.99,19.99,19.99,38.0,0.336766456,460528828.0,48502248.0
2024-11-04,19.0,19.0,16.15,18.99,1.0,0.337830439,460528828.0,48502248.0
2024-11-01,19.0,19.0,16.15,18.99,1.0,0.337830439,460528828.0,48502248.0
2024-10-31,19.0,19.0,16.15,18.99,1176.0,0.337830439,460528828.0,48502248.0
2024-10-30,19.0,19.0,19.0,19.0,5.0,0.332763139,485022469.0,48502248.0
2024-10-29,20.0,20.0,20.0,20.0,11.0,0.331673042,485022469.0,48502248.0
2024-10-28,20.0,20.0,19.99,19.99,180.0,0.337985175,485022469.0,48502248.0
2024-10-25,20.0,20.0,20.0,20.0,681.0,0.337968995,485022469.0,48502248.0
2024-10-24,23.0,23.0,23.0,23.0,1.0,0.3380143,533524715.0,48502248.0
2024-10-23,23.0,23.0,23.0,23.0,1.0,0.3380143,533524715.0,48502248.0
2024-10-22,23.0,23.0,23.0,23.0,44.0,0.3380143,533524715.0,48502248.0
2024-10-21,25.0,25.0,22.0,22.0,223.0,0.339282167,533524715.0,48502248.0
2024-10-18,21.0,21.0,21.0,21.0,47.0,0.315617153,509273592.0,48502248.0
2024-10-17,21.0,21.0,21.0,21.0,219.0,0.321489085,509273592.0,48502248.0
2024-10-16,21.0,21.0,21.0,21.0,298.0,0.327947899,509273592.0,48502248.0
2024-10-15,21.0,21.0,21.0,21.0,1800.0,0.327821872,509273592.0,48502248.0
2024-10-14,21.0,21.0,21.0,21.0,100.0,0.32779162,509273592.0,48502248.0
2024-10-11,21.0,21.0,21.0,21.0,200.0,0.327653967,509273592.0,48502248.0
2024-10-10,22.5,22.5,22.49,22.49,1.0,0.328439333,545650277.0,48502248.0
2024-10-09,22.5,22.5,22.49,22.49,46.0,0.328439333,545650277.0,48502248.0
2024-10-08,22.49,22.49,22.49,22.49,20.0,0.32913877,545650277.0,48502248.0
2024-10-07,22.5,22.89,22.5,22.89,1.0,0.318869037,545650277.0,48502248.0
2024-10-04,22.5,22.89,22.5,22.89,217.0,0.318869037,545650277.0,48502248.0
2024-10-03,22.89,22.89,22.89,22.89,1.0,0.318897095,557533322.0,48502248.0
2024-10-02,22.89,22.89,22.89,22.89,41.0,0.318897095,557533322.0,48502248.0
2024-10-01,22.97,22.97,22.97,22.97,30.0,0.318767983,557533322.0,48502248.0
2024-09-30,23.0,23.0,23.0,23.0,13.0,0.318468303,557533322.0,48502248.0
2024-09-27,23.0,23.0,22.95,22.99,81.0,0.318497267,557533322.0,48502248.0
2024-09-26,25.0,25.0,25.0,25.0,1.0,0.312838637,606278086.0,48502248.0
2024-09-25,25.0,25.0,25.0,25.0,1.0,0.312838637,606278086.0,48502248.0
2024-09-24,25.0,25.0,25.0,25.0,38.0,0.312838637,606278086.0,48502248.0
2024-09-23,25.0,25.0,25.0,25.0,3.0,0.31225911,630529209.0,48502248.0
2024-09-20,24.0,24.0,24.0,24.0,10.0,0.311147938,630529209.0,48502248.0
2024-09-19,25.0,25.0,25.0,25.0,1.0,0.31398826,630529209.0,48502248.0
2024-09-18,25.0,25.0,25.0,25.0,2.0,0.31398826,630529209.0,48502248.0
2024-09-17,26.0,26.0,26.0,26.0,5.0,0.312436441,630529209.0,48502248.0
2024-09-16,26.0,26.0,26.0,26.0,1.0,0.312154809,630529209.0,48502248.0
2024-09-13,26.0,26.0,26.0,26.0,6.0,0.312154809,630529209.0,48502248.0
2024-09-12,26.0,26.0,26.0,26.0,1.0,0.312463227,630529209.0,48502248.0
2024-09-11,26.0,26.0,26.0,26.0,1.0,0.312463227,630529209.0,48502248.0
2024-09-10,26.0,26.0,26.0,26.0,1.0,0.312463227,630529209.0,48502248.0
