time,open,high,low,close
12/30/24,115102.33,121210.97,115102.33,119380.66
12/27/24,114560.38,116690.05,114560.38,115102.33
12/26/24,115587.47,116357.63,111937.37,114560.38
12/23/24,114344.87,117063.92,114344.87,115587.47
12/20/24,112449.38,114344.87,112449.38,114344.87
12/19/24,104625.95,112449.38,104625.95,112449.38
12/18/24,103830.62,105253.34,103830.62,104625.95
12/17/24,102360.73,104123.35,102163.55,103830.62
12/16/24,103060.66,103708.73,101634.87,102360.73
12/13/24,103129.52,104459.66,102775.8,103060.66
12/12/24,104874.34,105436.52,102671.27,103129.52
12/11/24,104825.01,105833.12,103384.22,104874.34
12/10/24,105100.73,105798.73,103399.71,104825.01
12/9/24,105143.39,106369.86,104861.45,105100.73
12/6/24,105213.01,106206.95,105143.39,105143.39
12/5/24,106009.55,106358.22,105185.45,105213.01
12/4/24,106360.51,106590.24,105658.38,106139.62
12/3/24,106693.25,107575.3,105049.55,106360.51
12/2/24,107147.55,108022.73,105887.16,106693.25
11/29/24,108537.81,108939.08,106923.97,107147.55
11/28/24,107986.8,109817.5,107986.8,108537.81
11/27/24,109414.51,110026.12,107983.86,107986.8
11/26/24,109426.55,110389.55,109300.58,109414.51
11/25/24,106339.55,110007.47,106339.55,109426.55
11/22/24,105886.31,106771.6,105538.44,106339.55
11/21/24,105165.72,106438.29,105165.72,105886.31
11/20/24,104821.79,106826.57,103867.06,105165.72
11/19/24,104256.23,106060.62,103790.48,104821.79
11/15/24,104654.29,105165.7,101168.57,104256.23
11/14/24,104195.49,104902.91,103686.4,104654.29
11/13/24,102446.09,104198.13,101392.27,104195.49
11/12/24,99831.05,102456.77,99235.57,102446.09
11/11/24,99329.94,101124.02,97437.53,99831.05
11/8/24,99108.84,99345.86,98669.67,99329.94
11/7/24,99171,99464.57,98999.76,99108.84
11/6/24,99434.64,99462.55,97829.99,99171
11/5/24,99733.27,100068.62,98974,99448.9
11/1/24,99607.73,100433.09,99607.73,99733.27
10/31/24,97486.09,99718.3,97486.09,99607.73
10/30/24,97278.3,97952.37,96560.8,97486.09
10/29/24,97939.32,99229.79,97173.58,97278.3
10/28/24,98102.84,100294.55,97688.11,97938.5
10/25/24,96090.26,98854.62,95893.68,98102.84
10/24/24,95119.59,96090.26,93572.64,96090.26
10/23/24,96828.1,96981.68,95039.1,95119.59
10/22/24,97089.44,97602.2,96368.06,96828.1
10/21/24,95972.31,97408.52,95735.75,97089.44
10/18/24,93824.95,96499.48,93824.95,95972.31
10/17/24,93037.91,93845.73,92961.68,93824.95
10/16/24,93041.12,93538.84,91834.62,93037.91
10/15/24,92619.56,93100.91,91932.14,93041.12
10/14/24,92455.02,94206.71,92349.38,92619.56
10/11/24,90379.09,92961.89,90379.09,92455.02
10/10/24,90292.88,91500.81,89705.91,90379.09
10/9/24,89748.2,90561.84,89742.08,90292.88
10/8/24,89862.94,90603.98,88385.91,89754.32
10/7/24,88268.77,91073.71,88101.93,89978.66
10/4/24,88828.15,89144.62,88268.77,88268.77
10/3/24,89382.28,90604.88,88521.31,88828.15
10/2/24,90192.09,90512.05,89367.54,89382.28
10/1/24,91804.92,93724.66,89816.74,90192.09
9/30/24,92398.24,93917.85,91802.28,91804.92
9/27/24,92794.19,93007.98,91911.14,92398.24
9/26/24,94000.06,94240.33,92794.19,92794.19
9/25/24,95560.88,95788.98,93703.55,94000.06
9/24/24,96908.44,97158.92,95560.88,95560.88
9/23/24,97169.03,97499.95,96883.8,96908.44
9/20/24,96970.27,97684.61,96769.48,97169.03
9/19/24,96871.45,97674.82,96378.58,96970.27
9/18/24,97529.05,98331.69,96769.98,96871.45
9/17/24,97562.73,99916.66,97002.19,97529.05
9/13/24,97797.01,98941.52,96962.5,97562.73
9/12/24,98667.73,99572.28,97650.85,97797.01
9/11/24,98913.063,99829.172,98543.578,98667.727
9/10/24,97140.563,99366.406,96792.156,98913.063
9/9/24,95947.523,98799.188,95947.523,97140.563
9/6/24,95910.609,97790.672,95910.609,95947.523
9/5/24,96592.133,96644.992,95632.477,95910.609
9/4/24,96313.883,97566.563,94693.758,96592.133
9/3/24,95606.906,96914.203,93764.953,96313.883
9/2/24,91532.07,97490.227,91532.07,95606.906
8/30/24,91532.07,94820.094,91532.07,91532.07
8/29/24,91705.797,92659.063,90578.273,91532.07
8/28/24,92596.461,93121.023,91261.219,91705.797
8/27/24,94043.273,94209.797,91982.648,92596.461
8/26/24,94746.617,95464.039,93142.852,93151.242
8/23/24,93092.047,94776.43,93092.047,94746.617
8/22/24,93018.656,94309.367,92574.969,93092.047
8/21/24,89556.156,93018.656,89556.156,93018.656
8/20/24,88934.68,90116.594,88685.82,89556.156
8/16/24,89188.281,89419,88819.453,88934.68
8/15/24,87055.219,89188.281,86351.711,89188.281
8/14/24,88294.977,88298.43,86866.352,87055.219
8/13/24,89439.539,91196.617,87764.258,88294.977
8/12/24,91648.258,91752.32,89439.539,89439.539
8/9/24,93213.711,93213.711,91333.594,91648.258
8/8/24,92378.359,93678.109,92378.359,93213.711
8/7/24,92340.18,93372.031,92340.18,92378.359
8/6/24,93101.477,93645.93,92248.813,92340.18
8/5/24,94058.797,95083.32,92950.617,93101.477
8/2/24,92652.891,95229.156,92301.32,94058.797
8/1/24,90190.742,92652.891,89552.078,92652.891
7/31/24,90100.477,91650.227,90100.477,90190.742
7/30/24,88478.828,90349.344,86985.68,90100.477
7/29/24,89244.328,89513.398,85918.773,88478.828
7/26/24,87847.25,89840.531,87847.25,89244.328
7/25/24,86350.531,88563.023,84069.148,87847.25
7/23/24,84814.258,87209.703,84804.773,86350.531
7/22/24,85263.172,86444.953,84798.883,84814.258
7/19/24,84382.188,86069.617,84382.188,85263.172
7/18/24,86848.594,87044.203,82715.047,84382.188
7/17/24,88761.461,89331.039,85912.352,86848.594
7/16/24,90140.82,90963.344,88690.688,88761.461
