time,open,high,low,close,Volume,Beta,Mkt cap,Total common shares outstanding
2024-12-30,4.0,4.5,4.0,4.5,15439.0,0.669125533,1032345016.0,229410000.0
2024-12-27,3.84,4.01,3.84,4.0,344.0,0.640870207,880934394.0,229410000.0
2024-12-26,3.65,3.65,3.65,3.65,395.0,0.695733148,837346535.0,229410000.0
2024-12-25,3.65,3.65,3.65,3.65,1.0,0.693051306,837346535.0,229410000.0
2024-12-24,3.65,3.65,3.65,3.65,1.0,0.693051306,837346535.0,229410000.0
2024-12-23,3.65,3.65,3.65,3.65,5036.0,0.693051306,837346535.0,229410000.0
2024-12-20,3.65,3.65,3.65,3.65,1474.0,0.69358739,837346535.0,229410000.0
2024-12-19,3.65,3.65,3.62,3.65,2502.0,0.685278751,837346535.0,229410000.0
2024-12-18,3.6,3.6,3.5,3.6,260.0,0.703675767,825875991.0,229410000.0
2024-12-17,3.65,3.65,3.6,3.6,712.0,0.703487543,825875991.0,229410000.0
2024-12-16,3.65,3.65,3.2,3.6,1528.0,0.718633884,825875991.0,229410000.0
2024-12-13,3.65,3.65,3.65,3.65,310.0,0.719446564,837346535.0,229410000.0
2024-12-12,3.65,3.65,3.59,3.6,425.0,0.717169432,825875991.0,229410000.0
2024-12-11,3.6,3.6,3.6,3.6,21379.0,0.719315468,825875991.0,229410000.0
2024-12-10,3.6,3.6,3.4,3.4,353.0,0.708465802,857993416.0,229410000.0
2024-12-09,3.6,3.6,3.6,3.6,215.0,0.706895205,857993416.0,229410000.0
2024-12-06,3.6,3.6,3.6,3.6,300.0,0.70659107,857993416.0,229410000.0
2024-12-05,3.75,3.75,3.74,3.74,1.0,0.70373437,857993416.0,229410000.0
2024-12-04,3.75,3.75,3.74,3.74,1350.0,0.70373437,857993416.0,229410000.0
2024-12-03,3.74,3.74,3.74,3.74,1236.0,0.703790079,857993416.0,229410000.0
2024-12-02,3.75,3.75,3.74,3.74,388.0,0.703235829,857993416.0,229410000.0
2024-11-29,3.8,3.88,3.8,3.88,813.0,0.701703192,890110840.0,229410000.0
2024-11-28,3.88,3.88,3.88,3.88,60.0,0.703618783,883228492.0,229410000.0
2024-11-27,3.85,3.85,3.85,3.85,950.0,0.703239756,883228492.0,229410000.0
2024-11-26,3.84,3.85,3.74,3.85,1260.0,0.701809506,880934394.0,229410000.0
2024-11-25,3.84,3.84,3.84,3.84,766.0,0.701684999,880934394.0,229410000.0
2024-11-22,3.74,3.8,3.74,3.8,264.0,0.703434029,848817024.0,229410000.0
2024-11-21,3.74,3.74,3.74,3.74,148.0,0.699094871,848817024.0,229410000.0
2024-11-20,3.5,3.7,3.5,3.7,22051.0,0.698946878,848817024.0,229410000.0
2024-11-19,3.5,3.74,3.5,3.74,356.0,0.698690469,857993416.0,229410000.0
2024-11-18,3.65,3.65,3.65,3.65,1.0,0.69418817,837346535.0,229410000.0
2024-11-15,3.65,3.65,3.65,3.65,1685.0,0.69418817,837346535.0,229410000.0
2024-11-14,3.68,3.68,3.65,3.65,121.0,0.693168102,844228829.0,229410000.0
2024-11-13,3.7,3.7,3.68,3.68,966.0,0.692775078,844228829.0,229410000.0
2024-11-12,3.75,3.75,3.6,3.7,8800.0,0.688572409,848817024.0,229410000.0
2024-11-11,3.15,3.6,3.15,3.6,995.0,0.688453534,757053001.0,229410000.0
2024-11-08,3.45,3.45,3.44,3.44,1200.0,0.687937001,789170426.0,229410000.0
2024-11-07,3.44,3.44,3.35,3.44,966.0,0.686313245,789170426.0,229410000.0
2024-11-06,3.45,3.45,3.44,3.44,2307.0,0.685920666,789170426.0,229410000.0
2024-11-05,3.75,3.75,3.5,3.5,1212.0,0.684475057,802935013.0,229410000.0
2024-11-04,3.85,3.85,3.85,3.85,1.0,0.679527128,883228492.0,229410000.0
2024-11-01,3.85,3.85,3.85,3.85,1170.0,0.679527128,883228492.0,229410000.0
2024-10-31,3.75,3.75,3.75,3.75,313.0,0.672609065,860287514.0,229410000.0
2024-10-30,3.75,3.75,3.75,3.75,7615.0,0.674582675,860287514.0,229410000.0
2024-10-29,3.75,3.75,3.75,3.75,702.0,0.673207242,860287514.0,229410000.0
2024-10-28,3.75,3.75,3.75,3.75,1147.0,0.673399295,860287514.0,229410000.0
2024-10-25,3.75,3.75,3.75,3.75,528.0,0.672474095,860287514.0,229410000.0
2024-10-24,3.9,3.9,3.9,3.9,114.0,0.676504714,860287514.0,229410000.0
2024-10-23,3.75,3.75,3.75,3.75,3987.0,0.676249717,860287514.0,229410000.0
2024-10-22,3.75,3.75,3.25,3.75,341.0,0.652659144,860287514.0,229410000.0
2024-10-21,3.75,3.75,3.75,3.75,535.0,0.652363096,860287514.0,229410000.0
2024-10-18,3.5,3.5,3.5,3.5,980.0,0.648796962,802935013.0,229410000.0
2024-10-17,3.3,3.5,3.3,3.5,5700.0,0.650711871,802935013.0,229410000.0
