time,open,high,low,close,Volume,Beta,Mkt cap,Total common shares outstanding
2024-12-30,110.0,114.0,105.0,112.0,1045.0,0.616175537,10999900761.0,60880929.0
2024-12-27,100.0,100.0,100.0,100.0,1153.0,0.592312464,10695496120.0,60880929.0
2024-12-26,100.0,100.0,100.0,100.0,192.0,0.581786916,10695496120.0,60880929.0
2024-12-25,100.0,100.0,100.0,100.0,1.0,0.574700481,10476095963.0,60880929.0
2024-12-24,100.0,100.0,100.0,100.0,1.0,0.574700481,10476095963.0,60880929.0
2024-12-23,100.0,100.0,100.0,100.0,50.0,0.574700481,10476095963.0,60880929.0
2024-12-20,99.0,99.0,99.0,99.0,650.0,0.581719813,10415215034.0,60880929.0
2024-12-19,100.0,100.0,98.99,98.99,2273.0,0.587056514,10414606095.0,60880929.0
2024-12-18,100.0,100.0,100.0,100.0,8.0,0.623926294,10415215034.0,60880929.0
2024-12-17,98.0,99.0,98.0,99.0,30.0,0.610353125,10415215034.0,60880929.0
2024-12-16,100.0,100.0,98.0,99.0,137.0,0.618761831,10634615192.0,60880929.0
2024-12-13,100.0,100.0,98.0,100.0,81.0,0.580325439,10695496120.0,60880929.0
2024-12-12,100.0,100.0,100.0,100.0,2.0,0.592555519,10963143387.0,60880929.0
2024-12-11,100.0,100.0,100.0,100.0,3366.0,0.626450128,11313744745.0,60880929.0
2024-12-10,90.0,110.0,90.0,108.0,175.0,0.599473942,10963143387.0,60880929.0
2024-12-09,108.0,108.0,108.0,108.0,7.0,0.599153325,11479825527.0,60880929.0
2024-12-06,110.0,110.0,109.99,109.99,10.0,0.607842996,11523705559.0,60880929.0
2024-12-05,110.27,110.27,110.0,110.0,190.0,0.607088823,11523705559.0,60880929.0
2024-12-04,108.0,108.0,108.0,108.0,15.0,0.6089989,11401943703.0,60880929.0
2024-12-03,110.99,110.99,106.0,106.0,76.0,0.608761863,11401943703.0,60880929.0
2024-12-02,115.0,115.0,111.0,111.0,119.0,0.60692923,11584586487.0,60880929.0
2024-11-29,111.0,111.0,111.0,111.0,75.0,0.607785024,11672346550.0,60880929.0
2024-11-28,111.98,111.98,111.95,111.95,1364.0,0.607758444,11949583404.0,60880929.0
2024-11-27,112.95,112.95,111.95,111.95,64.0,0.603033043,11730183246.0,60880929.0
2024-11-26,115.0,115.0,112.0,112.0,11.0,0.602637409,11794108406.0,60880929.0
2024-11-25,113.0,113.0,113.0,113.0,46.0,0.61983979,11837988438.0,60880929.0
2024-11-22,108.0,108.0,100.0,104.95,29.0,0.607924018,10256695805.0,60880929.0
2024-11-21,108.0,108.0,105.0,105.0,16.0,0.606393647,10561100445.0,60880929.0
2024-11-20,110.0,110.0,100.0,100.0,296.0,0.605651264,10256695805.0,60880929.0
2024-11-19,98.0,98.0,90.0,95.0,1553.0,0.60574505,9952291164.0,60880929.0
2024-11-18,100.0,100.0,90.0,95.0,1.0,0.606033252,9952291164.0,60880929.0
2024-11-15,100.0,100.0,90.0,95.0,12.0,0.606033252,9952291164.0,60880929.0
2024-11-14,100.0,100.0,100.0,100.0,19.0,0.603929508,10256695805.0,60880929.0
2024-11-13,90.0,100.0,90.0,100.0,3578.0,0.603510215,10037295647.0,60880929.0
2024-11-12,85.0,95.0,85.0,95.0,271.0,0.602294296,9952291164.0,60880929.0
2024-11-11,86.0,86.0,80.0,85.0,11.0,0.598021812,8600276928.0,60880929.0
2024-11-08,85.0,85.0,80.0,80.0,112.0,0.597508677,8600276928.0,60880929.0
2024-11-07,84.75,84.75,84.75,84.75,124.0,0.596973842,8889461336.0,60880929.0
2024-11-06,85.0,85.0,85.0,85.0,1464.0,0.597412657,8904681568.0,60880929.0
2024-11-05,85.0,85.0,85.0,85.0,162.0,0.597481853,8904681568.0,60880929.0
2024-11-04,88.0,88.0,85.0,85.0,1.0,0.59718793,8904681568.0,60880929.0
2024-11-01,88.0,88.0,85.0,85.0,186.0,0.59718793,8904681568.0,60880929.0
2024-10-31,85.0,85.0,85.0,85.0,38.0,0.596865601,8904681568.0,60880929.0
2024-10-30,80.0,85.0,80.0,85.0,101.0,0.599092236,8380876770.0,60880929.0
2024-10-29,90.0,90.0,80.0,80.0,242.0,0.600112655,8380876770.0,60880929.0
2024-10-28,85.0,85.0,80.0,80.0,129.0,0.599824722,8380876770.0,60880929.0
2024-10-25,85.0,85.0,85.0,85.0,1879.0,0.596040688,8685281410.0,60880929.0
2024-10-24,80.0,89.99,80.0,89.99,554.0,0.603364112,8989077111.0,60880929.0
