inicio,Fecha,Portafolio Optimizado,Indice IBC,Alpha,CAPM,Beta,Rm(ibc),Sharpe,Desviacion
2021-Q1,marzo 2021,111.22%,-99.80%,211.02%,81.40%,0.80,-99.80%,2.147,3.09%
2021-Q2,junio 2021,63.65%,81.45%,-17.80%,61.82%,0.85,81.45%,1.082,3.37%
2021-Q3,septiembre 2021,8.98%,20.33%,-11.35%,41.56%,0.82,20.33%,0.062,3.31%
2021-Q4,diciembre 2021,8.73%,-4.83%,13.57%,31.57%,0.83,-4.83%,0.062,2.55%
2022-Q1,marzo 2022,-8.50%,-10.24%,1.74%,3.08%,0.41,-10.24%,-0.349,2.57%
2022-Q2,junio 2022,9.57%,23.10%,-13.53%,15.38%,0.60,23.10%,0.169,1.43%
2022-Q3,septiembre 2022,15.54%,32.06%,-16.53%,6.66%,0.69,32.06%,0.366,1.68%
2022-Q4,diciembre 2022,123.54%,141.07%,-17.53%,9.06%,0.78,141.07%,3.853,1.93%
2023-Q1,marzo 2023,64.21%,38.83%,25.38%,41.54%,0.88,38.83%,1.622,2.27%
2023-Q2,junio 2023,22.56%,23.42%,-0.86%,52.07%,0.87,23.42%,0.449,2.36%
2023-Q3,septiembre 2023,29.78%,22.65%,7.13%,51.28%,0.86,22.65%,0.742,2.04%
2023-Q4,diciembre 2023,23.66%,32.85%,-9.19%,49.08%,0.85,32.85%,0.598,1.89%
2024-Q1,marzo 2024,-3.74%,-4.58%,0.84%,26.13%,0.86,-4.58%,-0.308,1.94%
2024-Q2,junio 2024,14.39%,36.45%,-22.06%,14.08%,0.65,36.45%,0.249,2.19%
2024-Q3,septiembre 2024,18.02%,14.11%,3.91%,16.60%,0.67,14.11%,0.350,2.21%
2024-Q4,diciembre 2024,20.40%,32.36%,-11.97%,14.02%,0.59,32.36%,0.444,2.08%
,,,,,,,,,
